1, 16
2, 63
3, 40
4, 1
5, 42
6, 13
7, 1
8, 38
9, 11
10, 22
11, 44
12, 44
13, 35
14, 3
15, 1
16, 44
17, 48
18, 21
19, 10
20, 62
21, 29
22, 14
23, 2
24, 1
25, 20
26, 24
27, 24
28, 29
29, 16
30, 70
31, 40
32, 1
33, 42
34, 13
35, 1
36, 63
37, 19
38, 13
39, 16
40, 1
41, 44
42, 48
43, 21
44, 10
45, 62
46, 29
47, 14
48, 2
49, 1
50, 20
51, 24
52, 24
53, 29
54, 16
55, 72
56, 40
57, 1
58, 47
59, 22
60, 1
61, 44
62, 48
63, 21
64, 10
65, 78
66, 29
67, 14
68, 2
69, 1
70, 20
71, 24
72, 24
73, 29
74, 16
75, 45
76, 37
77, 25
78, 1
79, 13
80, 1
81, 10
82, 21
83, 43
84, 43
85, 34
86, 2
87, 1
88, 20
89, 24
90, 24
91, 29
92, 17
93, 70
94, 40
95, 1
96, 12
97, 13
98, 1
99, 50
100, 51
101, 27
102, 14
103, 1
104, 10
105, 21
106, 46
107, 50
108, 58
109, 59
110, 2
111, 1
112, 20
113, 24
114, 24
115, 29
116, 16
117, 57
118, 40
119, 1
120, 33
121, 59
122, 70
123, 61
124, 26
125, 1
126, 23
127, 7
128, 7
129, 1
130, 19
131, 23
132, 21
133, 2
134, 21
135, 35
136, 21
137, 6
138, 2
139, 1
140, 27
141, 16
142, 39
143, 37
144, 40
145, 1
146, 13
147, 1
148, 23
149, 20
150, 19
151, 1
152, 38
153, 16
154, 1
155, 21
156, 16
157, 62
158, 58
159, 37
160, 2
161, 1
162, 35
163, 1
164, 40
165, 37
166, 3
167, 35
168, 1
169, 20
170, 30
171, 33
172, 39
173, 81
174, 2
175, 1
176, 17
177, 45
178, 15
179, 76
180, 6
181, 2
182, 1
183, 29
184, 19
185, 1
186, 60
187, 1
188, 36
189, 53
190, 56
191, 37
192, 21
193, 1
194, 51
195, 1
196, 68
197, 64
198, 19
199, 5
200, 31
201, 58
202, 57
203, 6
204, 5
205, 76
206, 2
207, 1
208, 55
209, 38
210, 40
211, 37
212, 2
213, 27
214, 29
215, 54
216, 1
217, 13
218, 1
219, 17
220, 21
221, 1
222, 51
223, 73
224, 2
225, 1
226, 1
227, 21
228, 21
229, 1
230, 14
231, 60
232, 1
233, 52
234, 56
235, 64
236, 6
237, 21
238, 2
239, 1
240, 1
241, 21
242, 1
243, 19
244, 15
245, 1
246, 30
247, 33
248, 9
249, 21
250, 2
251, 1
252, 2
253, 40
254, 55
255, 60
256, 44
257, 2
258, 1
259, 50
260, 1
261, 24
262, 32
263, 62
264, 19
265, 1
266, 37
267, 43
268, 37
269, 1
270, 40
271, 37
272, 6
273, 1
274, 79
275, 17
276, 2
277, 1
278, 56
279, 43
280, 1
281, 42
282, 42
283, 42
284, 42
285, 42
286, 42
287, 1
288, 13
289, 21
290, 1
291, 58
292, 46
293, 1
294, 44
295, 34
296, 1
297, 49
298, 33
299, 1
300, 33
301, 28
302, 29
303, 1
304, 60
305, 24
306, 53
307, 9
308, 42
309, 16
310, 1
311, 45
312, 11
313, 1
314, 20
315, 6
316, 20
317, 5
318, 71
319, 1
320, 25
321, 28
322, 23
323, 29
324, 21
325, 21
326, 6
327, 9
328, 6
329, 23
330, 26
331, 29
332, 6
333, 33
334, 1
335, 66
336, 11
337, 1
338, 9
339, 4
340, 1
341, 50
342, 24
343, 27
344, 3
345, 34
346, 1
347, 27
348, 39
349, 37
350, 39
351, 36
352, 1
353, 13
354, 13
355, 15
356, 14
357, 22
358, 24
359, 25
360, 2
361, 44
362, 2
363, 18
364, 25
365, 2
366, 23
367, 21
368, 31
369, 29
370, 30
371, 18
372, 27
373, 11
374, 30
375, 30
376, 30
377, 18
378, 28
379, 11
380, 31
381, 23
382, 14
383, 24
384, 7
385, 3
386, 2
387, 17
388, 37
389, 41
390, 56
391, 7
392, 3
393, 2
394, 24
395, 41
396, 45
397, 59
398, 11
399, 7
400, 2
401, 13
402, 3
403, 2
404, 16
405, 19
406, 2
407, 74
408, 2
409, 64
410, 3
411, 2
412, 14
413, 44
414, 2
415, 41
416, 2
417, 50
418, 53
419, 7
420, 2
421, 40
422, 3
423, 2
424, 16
425, 62
426, 2
427, 17
428, 27
429, 27
430, 2
431, 31
432, 26
433, 7
434, 3
435, 2
436, 21
437, 43
438, 2
439, 38
440, 31
441, 28
442, 33
443, 33
444, 2
445, 45
446, 23
447, 46
448, 24
449, 6
450, 16
451, 35
452, 49
453, 93
454, 7
455, 2
456, 21
457, 24
458, 26
459, 34
460, 25
461, 28
462, 30
463, 29
464, 73
465, 41
466, 41
467, 30
468, 30
469, 18
470, 35
471, 30
472, 11
473, 30
474, 35
475, 33
476, 26
477, 18
478, 52
479, 11
480, 7
481, 3
482, 2
483, 21
484, 53
485, 109
486, 40
487, 37
488, 40
489, 48
490, 77
491, 1
492, 13
493, 21
494, 1
495, 15
496, 2
497, 25
498, 4
499, 12
500, 12
501, 12
502, 12
503, 12
504, 12
505, 12
506, 12
507, 12
508, 4
509, 14
510, 2
511, 1
512, 15
513, 2
514, 18
515, 1
516, 14
517, 13
518, 16
519, 1
520, 14
521, 2
522, 1
523, 24
524, 2
525, 20
526, 1
527, 61
528, 60
529, 63
530, 60
531, 59
532, 62
533, 63
534, 62
535, 65
536, 13
537, 2
538, 1
539, 14
540, 2
541, 18
542, 1
543, 16
544, 15
545, 15
546, 17
547, 16
548, 16
549, 15
550, 17
551, 17
552, 16
553, 1
554, 14
555, 2
556, 1
557, 22
558, 2
559, 43
560, 2
561, 1
562, 1
563, 21
564, 23
565, 28
566, 29
567, 18
568, 23
569, 1
570, 14
571, 2
572, 19
573, 22
574, 4
575, 15
576, 22
577, 32
578, 4
579, 32
580, 23
581, 30
582, 15
583, 32
584, 10
585, 85
586, 55
587, 39
588, 25
589, 10
590, 25
591, 8
592, 5
593, 2
594, 1
595, 14
596, 2
597, 18
598, 17
599, 16
600, 4
601, 31
602, 1
603, 19
604, 24
605, 36
606, 55
607, 5
608, 20
609, 17
610, 5
611, 4
612, 18
613, 24
614, 52
615, 29
616, 7
617, 45
618, 2
619, 1
620, 1
621, 23
622, 32
623, 46
624, 40
625, 37
626, 40
627, 48
628, 77
629, 42
630, 1
631, 13
632, 21
633, 1
634, 14
635, 13
636, 12
637, 15
638, 3
639, 1
640, 12
641, 38
642, 1
643, 16
644, 17
645, 24
646, 21
647, 30
648, 25
649, 25
650, 25
651, 25
652, 25
653, 25
654, 4
655, 85
656, 2
657, 1
658, 69
659, 1
660, 24
661, 2
662, 24
