1, 54
2, 37
3, 1
4, 24
5, 67
6, 84
7, 1
8, 47
9, 48
10, 8
11, 1
12, 14
13, 15
14, 12
15, 8
16, 1
17, 76
18, 77
19, 70
20, 28
21, 1
22, 24
23, 24
24, 26
25, 16
26, 18
27, 33
28, 43
29, 10
30, 9
31, 16
32, 28
33, 12
34, 12
35, 1
36, 21
37, 20
38, 18
39, 31
40, 45
41, 12
42, 1
43, 23
44, 13
45, 12
46, 7
47, 13
48, 16
49, 7
50, 13
51, 16
52, 7
53, 67
54, 1
55, 78
56, 28
57, 1
58, 29
59, 1
60, 16
61, 12
62, 28
63, 7
64, 32
65, 1
66, 9
67, 12
68, 29
69, 7
70, 31
71, 1
72, 9
73, 12
74, 35
75, 7
76, 33
77, 1
78, 9
79, 12
80, 19
81, 47
82, 7
83, 36
84, 1
85, 9
86, 12
87, 19
88, 49
89, 7
90, 38
91, 1
92, 9
93, 12
94, 23
95, 7
96, 33
97, 1
98, 9
99, 12
100, 31
101, 7
102, 37
103, 1
104, 9
105, 7
106, 20
107, 23
108, 15
109, 9
110, 5
111, 15
112, 23
113, 15
114, 9
115, 45
116, 1
117, 11
118, 5
119, 21
120, 23
121, 15
122, 9
123, 7
124, 17
125, 23
126, 15
127, 9
128, 32
129, 33
130, 37
131, 43
132, 1
133, 7
134, 18
135, 1
136, 19
137, 22
138, 20
139, 4
140, 1
141, 19
